"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
         127,      0.2013951067,     -0.5340643257,       1.838058331,       1.667789184,       4.524431348,       -11.1228821,    3.06089383e-09,   7.726385269e-07,                 1,       1.308208878,       1.308047663
         128,       0.201233068,     -0.5465064803,        1.80185831,       1.642517575,       4.567931908,      -11.14494497,   3.091497009e-09,   7.068064886e-07,                 1,       1.321290967,       1.321121289
         129,      0.2010163159,     -0.5373825718,       1.840039746,       1.667379033,       4.537856144,      -11.15555278,   3.122406119e-09,   7.323104575e-07,                 1,       1.334503877,        1.33432573
         130,      0.2007997802,     -0.5603774204,       1.832658196,        1.66631769,       4.524027721,      -11.15669083,   3.153624215e-09,   7.653494935e-07,                 1,       1.347848915,       1.347662683
         131,      0.2005827762,      -0.551991554,        1.83376493,        1.66636021,       4.527908158,      -11.17260562,   3.185154387e-09,   7.952737672e-07,                 1,       1.361327404,       1.361132007
         132,      0.2003812422,      -0.521159031,       1.835905471,       1.667326613,       4.532578004,      -11.15442474,   3.216999754e-09,   7.431644355e-07,                 1,       1.374940679,       1.374736863
         133,      0.2002247353,     -0.5502823208,       1.845795418,       1.669424693,       4.524533712,       -11.1515248,   3.249163465e-09,   7.794482423e-07,                 1,       1.388690085,       1.388475388
         134,      0.2000625119,     -0.5746374087,       1.657301413,       1.502294596,       4.902095787,      -11.16880219,   3.281648703e-09,    8.39220081e-07,                 1,       1.402576986,       1.402350786
         135,      0.1999013124,     -0.5330139124,       1.842387835,       1.669576622,       4.527414053,      -11.16067135,   3.314458679e-09,   8.083504948e-07,                 1,       1.416602756,       1.416364809
         136,      0.1996848055,      -0.570587569,       1.660419209,       1.506537543,       4.897987232,      -11.16790207,    3.34759664e-09,   7.806228301e-07,                 1,       1.430768784,       1.430521543
